name,address
원약국,"서울특별시 강서구 남부순환로11가길 104, 1층 (공항동)"
충무약국,"서울특별시 중구 충무로 3, 225,226,227호 (필동1가)"
신화약국,"서울특별시 송파구 올림픽로12길 34, (잠실동, 103호)"
라온약국,"서울특별시 서초구 반포대로 291, 4층 434호 (반포동)"
세양메디신약국,"서울특별시 양천구 목동남로4길 2, 2층 208-2호 (신정동, 세양청마루2차 주상복합)"
시민약국,"서울특별시 노원구 공릉로 176, 1층 (공릉동)"
레아약국,"서울특별시 금천구 가산디지털1로 131, 117-1호 (가산동, BYC하이시티)"
한약짓는약국,"서울특별시 마포구 신촌로32길 3-8, 트렌빌 1층 101호 (아현동)"
불광새봄약국,"서울특별시 은평구 통일로 741, 신흥빌딩 4층 (대조동)"
매일행복약국,"서울특별시 성북구 동소문로 43, 흥화브라운 동소문빌딩 1층 (동소문동4가)"
갑진약국,"서울특별시 은평구 은평터널로 16, DMC파인시티자이상가 1층 313호 (수색동)"
우리약국,"서울특별시 금천구 시흥대로 211, (시흥동)"
군자여기약국,"서울특별시 광진구 천호대로 517, 1층 103호 (중곡동, 리마크빌 군자)"
지음약국,"서울특별시 강남구 봉은사로 533, 윤곡빌딩 1층 102호 (삼성동)"
창대온누리약국,"서울특별시 양천구 목동중앙북로 13-1, (목동)"
잠실팜약국,"서울특별시 송파구 석촌호수로 80, 송천빌딩 1층 02호 (잠실동)"
목동제일큰약국,"서울특별시 양천구 오목로 224, 1층 (신정동)"
한국약국,"서울특별시 동대문구 약령시로 123, 1층 (청량리동)"
비전약국,"서울특별시 강동구 아리수로93나길 80, 성산타워2 108호 (강일동)"
신세계약국,"서울특별시 양천구 신정로 312, 107호 (신정동, 목동뉴프라자상가)"
통인한약국,"서울특별시 종로구 필운대로6길 29, (통인동)"
혜화설약국,"서울특별시 종로구 성균관로 1, 1호 (명륜2가)"
옥수이화약국,"서울특별시 성동구 매봉길 48, 106호 (옥수동)"
더원약국,"서울특별시 서초구 반포대로 291, 5층 546호 (반포동)"
비전약국,"서울특별시 광진구 동일로18길 73, 1층 (자양동)"
아름약국,"서울특별시 양천구 신월로 304, 1층 (신정동)"
교대역약국,"서울특별시 서초구 서초대로 287, 1층 (서초동)"
경희정문약국,"서울특별시 강동구 동남로 877, 한화오벨리스크스위트 103호 (명일동)"
24시약국,"서울특별시 광진구 아차산로29길 15, 1층 (화양동)"
스타약국,"서울특별시 관악구 남부순환로 1940, 104호 (봉천동)"
튼튼약국,"서울특별시 관악구 신원로 16, (신림동)"
365약국,"서울특별시 중랑구 면목로 407, 면목역 지하1층 108호 (면목동)"
호정약국,"서울특별시 용산구 효창원로93길 9, 한빛빌딩 2층 201호 (효창동)"
메디칼약국,"서울특별시 노원구 동일로 1550, 고려프라자빌딩 2층 206호 (상계동)"
민생약국,"서울특별시 강남구 언주로125길 6, (논현동)"
인선약국,"서울특별시 강남구 선릉로 755, 1층 (논현동)"
새휘정약국,"서울특별시 강남구 학동로101길 26, 102호 (청담동, 삼익상가)"
푸른약국,"서울특별시 서초구 서초대로 3-4, 1층 101-3호 (방배동, 방배디오슈페리움)"
인정온누리약국,"서울특별시 성북구 삼선교로 14, (삼선동1가)"
초록약국,"서울특별시 은평구 수색로 191, (증산동)"
에스약국,"서울특별시 서초구 서초대로40길 77, 102호 (서초동)"
한진당약국,"서울특별시 동대문구 고산자로36길 3, (제기동)"
신나래약국,"서울특별시 금천구 독산로 137, (시흥동, 시흥음악학원)"
라라약국,"서울특별시 영등포구 여의나루로 42, 여의도종합상가 510-가호 (여의도동)"
